ID,Summary,Parent Interest ID,Registered,Published,Updated_1,Category,MNIS ID,Member,VisitLocations_Country_1,VisitLocations_Destination_1,Purpose,StartDate,EndDate,Appg,Donors_Name_1,Donors_IsPrivateIndividual_1,Donors_PublicAddress_1,Donors_PaymentType_1,Donors_PaymentDescription_1,Donors_Value_1,Donors_IsSoleBeneficiary_1,Link,Donors_Name_2,Donors_IsPrivateIndividual_2,Donors_PublicAddress_2,Donors_PaymentType_2,Donors_PaymentDescription_2,Donors_Value_2,Donors_IsSoleBeneficiary_2,Donors_Name_3,Donors_IsPrivateIndividual_3,Donors_PublicAddress_3,Donors_PaymentType_3,Donors_PaymentDescription_3,Donors_Value_3,Donors_IsSoleBeneficiary_3,VisitLocations_Country_2,VisitLocations_Destination_2,Donors_Name_4,Donors_IsPrivateIndividual_4,Donors_PublicAddress_4,Donors_PaymentType_4,Donors_PaymentDescription_4,Donors_Value_4,Donors_IsSoleBeneficiary_4,Donors_Name_5,Donors_IsPrivateIndividual_5,Donors_PublicAddress_5,Donors_PaymentType_5,Donors_PaymentDescription_5,Donors_Value_5,Donors_IsSoleBeneficiary_5,Updated_2
3435,International visit to United Arab Emirates between 01 December 2023 and 08 December 2023,,2024-01-02,2023-12-17,,Visits outside the UK,4632,Anna McMorrin,United Arab Emirates,Dubai,To attend the COP28 Summit in Dubai as part of my work with the APPG on Sustainable Finance.,2023-12-01,2023-12-08,All-Party Parliamentary Group on Sustainable Finance,The Athena Foundation,False,"Midas House, First Floor, Goldsworth Road, Woking GU21 6LQ",In kind,"Airfare, accommodation and hospitality",815.00,True,https://interests-api.parliament.uk/api/v1/Interests/3435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605,International visit between 28 May 2023 and 01 June 2023,,2023-06-07,2023-12-17,,Visits outside the UK,4917,Ms Anum Qaisar,Palestine,Occupied Palestinian Territory,"Fact-finding visit organised by the Council for Arab-British Understanding, Amnesty International UK section and Medical Aid for Palestinians.",2023-05-28,2023-06-01,,Medical Aid for Palestinians,False,"33a Islington Park Street, London N1 1QB",In kind,"Flights, accommodation, food and transport",640.18,True,https://interests-api.parliament.uk/api/v1/Interests/1605,Amnesty UK,False,"17-25 New Inn Yard, London EC2A 3EA",In kind,"Flights, accommodation, food and transport",960.28,True,,,,,,,,Israel,,,,,,,,,,,,,,,,
2100,International visit between 12 October 2023 and 15 October 2023,,2023-10-26,2023-12-17,,Visits outside the UK,3914,Shabana Mahmood,Spain,,To attend and speak at the Concordia Forum.,2023-10-12,2023-10-15,,Unitas Communications,False,"1 St. Mark Street, London E1 8DA",In kind,"Flights, accommodation and airport transfer",2380.00,True,https://interests-api.parliament.uk/api/v1/Interests/2100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2102,International visit between 22 June 2023 and 23 June 2023,,2023-06-28,2023-12-17,,Visits outside the UK,4484,Alan Mak,France,Paris and Rouen,"Participation in Franco-British Young Leaders programme, including meetings with French Parliamentarians and civic leaders.",2023-06-22,2023-06-23,,Franco-British Council,False,"c/o The British Library, 96 Euston Road, London NW1 2DB",In kind,"Rail travel, accommodation, meals, ground transportation, event access and sundries",594.42,True,https://interests-api.parliament.uk/api/v1/Interests/2102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2124,International visit to South Korea between 18 September 2023 and 22 September 2023,,2023-10-06,2023-12-17,,Visits outside the UK,1586,Adam Afriyie,South Korea,Seoul,Speech and panel on the UK legislative environment.,2023-09-18,2023-09-22,,The GTNF Trust,False,"1121 Situs Court, Suite 370, Raleigh, NC 27606, USA",In kind,"Flights, transfers, accommodation and meals (value is estimated)",8384.88,True,https://interests-api.parliament.uk/api/v1/Interests/2124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3624,International visit to United Arab Emirates between 08 December 2023 and 11 December 2023,,2024-01-05,2023-12-17,,Visits outside the UK,4138,Rushanara Ali,United Arab Emirates,Dubai,Attendance at COP28 to learn about the COP negotiation process and the role of legislators to achieve the targets set for the global climate and decarbonisation agenda.,2023-12-08,2023-12-11,,Energy & Climate Intelligence Unit,False,"180 Borough High Street, London SE1 1LB",In kind,"Accommodation (£759.65), flight (£660) and subsistence (maximum value £100)",1519.65,True,https://interests-api.parliament.uk/api/v1/Interests/3624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4272,International visit to Israel between 14 February 2024 and 18 February 2024,,2024-02-27,2023-12-17,,Visits outside the UK,4788,Fleur Anderson,Israel,,To meet victims of violence in Israel and the West Bank and a range of individuals and organisations to understand the steps needed to achieve a two state solution and respond to the humanitarian situation in Gaza.,2024-02-14,2024-02-18,,Yachad,False,"Star House 104-108 Grafton Road, London NW5 4BA",In kind,"Flights, accommodation, food, speakers fees and conflict area insurance",2440.00,True,https://interests-api.parliament.uk/api/v1/Interests/4272,,,,,,,,,,,,,,,Palestine,Occupied Palestinian Territories,,,,,,,,,,,,,,,
4279,International visit to Israel between 12 February 2024 and 16 February 2024,,2024-02-26,2023-12-17,,Visits outside the UK,1554,Stephen Crabb,Israel,,Fact finding political delegation to Israel.,2024-02-12,2024-02-16,,Conservative Friends of Israel Ltd,False,"PO Box 72288, London SW1P 9LB",In kind,"Flights, accommodation and hospitality",2450.00,True,https://interests-api.parliament.uk/api/v1/Interests/4279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3362,International visit to United Arab Emirates between 07 December 2023 and 11 December 2023,,2023-12-20,2023-12-17,,Visits outside the UK,1487,Mr Tobias Ellwood,United Arab Emirates,,Attendance at COP28.,2023-12-07,2023-12-11,,United Arab Emirates Ministry of Foreign Affairs,False,"King Abdullah Bin Abdul Aziz Al Saud Street, Al Batten, Abu Dhabi",In kind,"Flights (£3,242.49) and accommodation (£966.60)",4209.09,True,https://interests-api.parliament.uk/api/v1/Interests/3362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3249,International visit to Israel between 03 January 2024 and 07 January 2024,,2024-01-08,2023-12-17,,Visits outside the UK,4778,Greg Smith,Israel,,Fact finding political delegation.,2024-01-03,2024-01-07,,Conservative Friends of Israel Ltd (CFI Ltd),False,"PO Box 72288, London SW1P 9LB",In kind,"Air travel, accommodation and hospitality",2450.00,True,https://interests-api.parliament.uk/api/v1/Interests/3249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
