mnis_id,name,party,constituency,adhoc_earnings,adhoc_hours,ongoing_earnings,ongoing_hours,total_earnings,total_hours,summary
5239,Sarah Gibson,Liberal Democrat,Chippenham,27512.04,502.6,30219.67,539.6,57731.71,1042.2,£28k from 19 ad hoc payments (University of Bath and Wiltshire Council). £30k from 2 ongoing roles (Wiltshire Council and University of Bath).
4651,Dan Carden,Labour,Liverpool Walton,6850.0,20.0,50178.04,194.1,57028.04,214.1,£7k from 2 ad hoc payments (Steps Together Rehab (St Helen's) Ltd and Associated Newspapers Ltd (ANMFS Ltd)). £50k from 2 ongoing roles (Steps Together Group Ltd and Green Rock Robotics INC.).
249,Sir Geoffrey Clifton-Brown,Conservative,North Cotswolds,27111.05,255.0,26652.98,476.2,53764.03,731.2,£27k from 1 ad hoc payment (East Beckham partnership). £27k from 1 ongoing role (East Beckham partnership).
1466,Dr Andrew Murrison,Conservative,South West Wiltshire,53738.93,912.0,0.0,0.0,53738.93,912.0,£54k from 8 ad hoc payments (Royal Naval Reserve).
5213,Dr Zubir Ahmed,Labour,Glasgow South West,51688.0,676.0,1424.72,19.3,53112.72,695.3,£52k from 3 ad hoc payments (NHS golden jubilee and NHS Fife). £1k from 1 ongoing role (NHS golden jubilee).
5082,Jake Richards,Labour,Rother Valley,52070.0,0.0,0.0,0.0,52070.0,0.0,£52k from 17 ad hoc payments (Deka Chambers).
4095,Steve Barclay,Conservative,North East Cambridgeshire,52000.0,136.5,0.0,0.0,52000.0,136.5,"£52k from 13 ad hoc payments (BPP Holdings Limited (BPP),)."
5360,David Pinto-Duschinsky,Labour,Hendon,51639.21,0.0,0.0,0.0,51639.21,0.0,£52k from 3 ad hoc payments (EY).
5119,Natasha Irons,Labour,Croydon East,47219.0,0.0,178.28,8.6,47397.28,8.6,£47k from 1 ad hoc payment (Channel 4 Television). £178 from 1 ongoing role (Channel 4 Television).
4592,Dr Caroline Johnson,Conservative,Sleaford and North Hykeham,713.4,0.0,46574.48,597.0,47287.88,597.0,£713 from 1 ad hoc payment (North West Anglia NHS Foundation Trust). £47k from 1 ongoing role (North West Anglia NHS Foundation Trust).
5295,Josh Fenton-Glynn,Labour,Calder Valley,0.0,0.0,46853.8,1297.0,46853.8,1297.0,£47k from 1 ongoing role (Calderdale Council).
172,Ms Diane Abbott,Independent,Hackney North and Stoke Newington,43200.0,44.0,0.0,0.0,43200.0,44.0,"£43k from 3 ad hoc payments (Viking- Penguin via Blake Friedmann Literary, TV & Film Agency Ltd and Penguin Audio via Blake Friedmann Literary, TV & Film Agency Ltd)."
4356,Angela Rayner,Labour,Ashton-under-Lyne,39000.0,8.4,0.0,0.0,39000.0,8.4,"£39k from 3 ad hoc payments (JLA Speakers Ltd, Chartwell Speakers and 1 other)."
5362,Mr Angus MacDonald,Liberal Democrat,"Inverness, Skye and West Ross-shire",0.0,0.0,37927.19,1575.0,37927.19,1575.0,£38k from 1 ongoing role (Highland Council).
4084,Esther McVey,Conservative,Tatton,37789.71,223.0,0.0,0.0,37789.71,223.0,"£38k from 33 ad hoc payments (Reach Group Limited, GB News and 1 other)."
5103,Luke Taylor,Liberal Democrat,Sutton and Cheam,0.0,0.0,37630.09,1775.1,37630.09,1775.1,£38k from 3 ongoing roles (London Borough of Sutton and Ricondo).
146,Barry Gardiner,Labour,Brent West,36005.0,739.0,0.0,0.0,36005.0,739.0,"£36k from 28 ad hoc payments (GB News, Asian Democracy Limited and 3 others)."
5329,John Milne,Liberal Democrat,Horsham,0.0,0.0,35731.51,533.1,35731.51,533.1,£36k from 2 ongoing roles (West Sussex County Council and Horsham District Council).
5116,Chris McDonald,Labour,Stockton North,34659.61,120.0,0.0,0.0,34659.61,120.0,£35k from 5 ad hoc payments (Materials Processing Institute and Millennium Steel Publishing).
5111,Martin Wrigley,Liberal Democrat,Newton Abbot,6986.07,20.0,26122.61,2311.8,33108.68,2331.8,"£7k from 4 ad hoc payments (Teignbridge district council). £26k from 4 ongoing roles (Devon County Council, Teignbridge district council and 1 other)."
5340,Jack Rankin,Conservative,Windsor,19590.0,0.0,12936.34,29.6,32526.34,29.6,£20k from 1 ad hoc payment (Pexapark (UK) Limited). £13k from 1 ongoing role (Pexapark (UK) Limited).
4074,Mark Garnier,Conservative,Wyre Forest,14620.0,19.0,17763.18,201.9,32383.18,220.9,£15k from 3 ad hoc payments (GBMW Ltd and Super Sharp Space Systems). £18k from 3 ongoing roles (Super Sharp Space Systems and Space Solar Group Holdings).
5343,Mr Joshua Reynolds,Liberal Democrat,Maidenhead,0.0,0.0,32285.92,1852.9,32285.92,1852.9,£32k from 2 ongoing roles (Berkshire Fire Authority and Royal Borough of Windsor & Maidenhead).
4656,Layla Moran,Liberal Democrat,Oxford West and Abingdon,0.0,0.0,32122.17,213.2,32122.17,213.2,£32k from 1 ongoing role (CSA Catapult Innovation Centre).
5196,Brian Leishman,Labour,Alloa and Grangemouth,0.0,0.0,31936.24,3705.8,31936.24,3705.8,£32k from 1 ongoing role (Perth and Kinross Council).
5346,Calum Miller,Liberal Democrat,Bicester and Woodstock,8007.91,56.0,23731.81,926.5,31739.72,982.5,"£8k from 2 ad hoc payments (Blavatnik School of Government, Oxford University). £24k from 1 ongoing role (Oxfordshire County Council)."
5357,Ayoub Khan,Independent,Birmingham Perry Barr,31460.0,3448.0,0.0,0.0,31460.0,3448.0,£31k from 20 ad hoc payments (Birmingham City Council).
5138,Ian Roome,Liberal Democrat,North Devon,3329.02,105.0,25969.55,680.7,29298.57,785.7,"£3k from 3 ad hoc payments (Royal Devon University Healthcare NHS Foundation Trust, Devon County Council and 1 other). £26k from 3 ongoing roles (Devon County Council, North Devon District Council and 1 other)."
5214,Brian Mathew,Liberal Democrat,Melksham and Devizes,0.0,0.0,28197.14,2779.4,28197.14,2779.4,£28k from 1 ongoing role (Wiltshire Council).
5296,Freddie van Mierlo,Liberal Democrat,Henley and Thame,0.0,0.0,27803.42,1272.6,27803.42,1272.6,£28k from 2 ongoing roles (Oxfordshire County Council and South Oxfordshire District Council).
5191,Adam Dance,Liberal Democrat,Yeovil,0.0,0.0,27541.48,1297.0,27541.48,1297.0,£28k from 1 ongoing role (Somerset Council).
4089,Tessa Munt,Liberal Democrat,Wells and Mendip Hills,0.0,0.0,27541.41,1389.7,27541.41,1389.7,£28k from 1 ongoing role (Somerset Council).
4409,Naz Shah,Labour,Bradford West,27495.0,209.0,0.0,0.0,27495.0,209.0,"£27k from 4 ad hoc payments (A M Heath & Company Limited,)."
5200,Kenneth Stevenson,Labour,Airdrie and Shotts,584.79,25.0,26798.18,2316.1,27382.97,2341.1,£585 from 1 ad hoc payment (North Lanarkshire Council). £27k from 1 ongoing role (North Lanarkshire Council).
4995,Sarah Dyke,Liberal Democrat,Glastonbury and Somerton,0.0,0.0,26085.38,648.5,26085.38,648.5,£26k from 1 ongoing role (Somerset Council).
5327,Vikki Slade,Liberal Democrat,Mid Dorset and North Poole,0.0,0.0,26058.92,1397.0,26058.92,1397.0,£26k from 2 ongoing roles (BCP Council and Local Government Association).
5297,Rebecca Paul,Conservative,Reigate,0.0,0.0,25604.56,682.3,25604.56,682.3,£26k from 1 ongoing role (Surrey County Council).
5447,Hannah Spencer,Green Party,Gorton and Denton,0.0,0.0,24841.21,1111.7,24841.21,1111.7,£25k from 1 ongoing role (Trafford Council).
5265,James MacCleary,Liberal Democrat,Lewes,0.0,0.0,24229.26,1066.1,24229.26,1066.1,£24k from 2 ongoing roles (East Sussex County Council and Lewes District Council).
5164,Steff Aquarone,Liberal Democrat,North Norfolk,702.0,15.0,22155.73,0.0,22857.73,15.0,£702 from 1 ad hoc payment (Mango Online Learning Development Solutions Limited). £22k from 1 ongoing role (Norfolk County Councillor).
4434,Stephen Gethins,Scottish National Party,Arbroath and Broughty Ferry,8342.39,75.0,14095.12,213.7,22437.51,288.7,"£8k from 4 ad hoc payments (University of St Andrews). £14k from 1 ongoing role (School of International Relations, University of St Andrews)."
5301,Rebecca Smith,Conservative,South West Devon,0.0,0.0,22171.3,1436.8,22171.3,1436.8,£22k from 2 ongoing roles (Plymouth City Council and Commonwealth War Graves Commission).
