mnis_id,member,employer,role,nature_of_business,address,row_type,date_display,earnings,hours,rate_display
4814,Jonathan Gullis,GB News Limited,Appearing on Patrick Christys Tonight and other programmes,,"c/o Brown Rudnick LLP, Riverbank House, 2 Swan Lane, London EC4R 3TT",adhoc,16 Apr 2024,250.0,2.0,
4814,Jonathan Gullis,GB News Limited,Appearing on Patrick Christys Tonight and other programmes,,"c/o Brown Rudnick LLP, Riverbank House, 2 Swan Lane, London EC4R 3TT",adhoc,26 Mar 2024,250.0,2.0,
4814,Jonathan Gullis,GB News Limited,Appearing on Patrick Christys Tonight and other programmes,,"c/o Brown Rudnick LLP, Riverbank House, 2 Swan Lane, London EC4R 3TT",adhoc,19 Mar 2024,250.0,2.0,
4814,Jonathan Gullis,GB News Limited,Appearing on Patrick Christys Tonight and other programmes,,"c/o Brown Rudnick LLP, Riverbank House, 2 Swan Lane, London EC4R 3TT",adhoc,12 Mar 2024,250.0,2.0,
4814,Jonathan Gullis,GB News Limited,Appearing on Patrick Christys Tonight and other programmes,,"c/o Brown Rudnick LLP, Riverbank House, 2 Swan Lane, London EC4R 3TT",adhoc,5 Mar 2024,250.0,2.0,
4814,Jonathan Gullis,GB News Limited,Appearing on Patrick Christys Tonight and other programmes,,"c/o Brown Rudnick LLP, Riverbank House, 2 Swan Lane, London EC4R 3TT",adhoc,27 Feb 2024,250.0,2.0,
4814,Jonathan Gullis,GB News Limited,Appearing on Patrick Christys Tonight and other programmes,,"c/o Brown Rudnick LLP, Riverbank House, 2 Swan Lane, London EC4R 3TT",adhoc,13 Feb 2024,250.0,2.0,
4814,Jonathan Gullis,GB News Limited,Appearing on Patrick Christys Tonight and other programmes,,"c/o Brown Rudnick LLP, Riverbank House, 2 Swan Lane, London EC4R 3TT",adhoc,6 Feb 2024,250.0,2.0,
4814,Jonathan Gullis,GB News Limited,Appearing on Patrick Christys Tonight and other programmes,,"c/o Brown Rudnick LLP, Riverbank House, 2 Swan Lane, London EC4R 3TT",adhoc,30 Jan 2024,250.0,2.0,
4823,John Finucane,Finucane Toner Ltd,Director,Solicitors,"76-78 Castle St, Belfast BT1 1HD",ongoing,1 Jan 2020 – ongoing,31466.45,538.8,"£4,672/monthly · 80h/monthly"
4832,Nick Fletcher,Analogue Electrics Ltd,Former director,Electrical contracting,"Unit 1A Lordswood Road, Harworth DN11 8BZ",ongoing,7 Nov 2023 – 1 Aug 2024,5388.09,0.0,"£800/monthly (Company car, phone, and health insurance)"
4857,Carla Lockhart,Carla Lockhart and Rodney Condell,Farming and administrative duties,,"5 Morrow Park, Clabby, BT75 0LT",ongoing,7 Nov 2023 – ongoing,1403.15,234.1,"£2,500/yearly · 8h/weekly"
4865,Miriam Cates,Telegraph Media Group,Writing articles,,"111 Buckingham Palace Road, London SW1W 0DT",adhoc,20 Feb 2024,750.0,15.0,
4865,Miriam Cates,The Critic (Locomotive 6960 Ltd),Writing articles,,"6th Floor Capital Tower, 91 Waterloo Road, London SE1 8RT",adhoc,14 Dec 2023,100.0,3.0,
4865,Miriam Cates,Telegraph Media Group,Writing articles,,"111 Buckingham Palace Road, London SW1W 0DT",adhoc,12 Dec 2023,150.0,3.0,
4865,Miriam Cates,Telegraph Media Group,Writing articles,,"111 Buckingham Palace Road, London SW1W 0DT",adhoc,28 Nov 2023,250.0,3.0,
4865,Miriam Cates,The Critic (Locomotive 6960 Ltd),Writing articles,,"6th Floor Capital Tower, 91 Waterloo Road, London SE1 8RT",adhoc,16 Nov 2023,100.0,2.0,
4865,Miriam Cates,Telegraph Media Group,Writing articles,,"111 Buckingham Palace Road, London SW1W 0DT",adhoc,14 Nov 2023,250.0,3.0,
4938,Paulette Hamilton,Birmingham and Solihull Mental Health Trust,Sitting on hearings as an Independent Lay Manager,,"Unit 1 B1, 50 Summer Hill Road, Birmingham B1 3RB",adhoc,28 Feb 2024,107.6,6.0,
4938,Paulette Hamilton,Birmingham and Solihull Mental Health Trust,Sitting on hearings as an Independent Lay Manager,,"Unit 1 B1, 50 Summer Hill Road, Birmingham B1 3RB",adhoc,24 Jan 2024,307.6,10.0,
4938,Paulette Hamilton,Birmingham and Solihull Mental Health Trust,Sitting on hearings as an Independent Lay Manager,,"Unit 1 B1, 50 Summer Hill Road, Birmingham B1 3RB",adhoc,28 Nov 2023,231.6,6.0,
4943,Simon Lightwood,WA Communications,Speaking Engagement,,"6th Floor, Artillery House, Artillery Row, London SW1P 1RT",adhoc,18 Apr 2024,500.0,1.5,
4994,Steve Tuckwell,Hillingdon Council,Councillor,,"London Borough of Hillingdon, Civic Centre, High Street, Uxbridge UB8 1UW",ongoing,7 Nov 2023 – ongoing,6742.99,146.3,"£12,014/yearly · 5h/weekly (paid monthly as a councillor allowance.)"
