mnis_id,employer,role,nature_of_business,address,row_type,date_display,earnings,hours,rate_display,sort_date
4938,Birmingham and Solihull Mental Health Trust,Sitting on hearings as an Independent Associate Manager,,"Unit 1 B1, 50 Summer Hill Road, Birmingham B1 3RB",adhoc,28 Apr 2025,149.4,5.0,,2025-04-28
4938,Birmingham and Solihull Mental Health Trust,Sitting on hearings as an Independent Associate Manager,,"Unit 1 B1, 50 Summer Hill Road, Birmingham B1 3RB",adhoc,28 Mar 2025,111.2,4.0,,2025-03-28
4938,ITN Productions,"Jeremy Vine guest reviewer on the breakfast program, discussing current news affairs of the day.",Channel 5 Studio,"200 Gray's Inn road, London WC1X 8XZ",adhoc,21 Mar 2025,300.0,4.0,,2025-03-21
4938,Birmingham and Solihull Mental Health Trust,Sitting on hearings as an Independent Associate Manager,,"Unit 1 B1, 50 Summer Hill Road, Birmingham B1 3RB",adhoc,28 Feb 2025,159.2,3.0,,2025-02-28
4938,ITN Productions,"Jeremy Vine guest reviewer on the breakfast program, discussing current news affairs of the day.",Channel 5 Studio,"200 Gray's Inn road, London WC1X 8XZ",adhoc,7 Feb 2025,300.0,4.0,,2025-02-07
4938,Birmingham and Solihull Mental Health Trust,Sitting on hearings as an Independent Associate Manager,,"Unit 1 B1, 50 Summer Hill Road, Birmingham B1 3RB",adhoc,24 Jan 2025,303.2,10.0,,2025-01-24
4938,Birmingham and Solihull Mental Health Trust,Sitting on hearings as an Independent Associate Manager,,"Unit 1 B1, 50 Summer Hill Road, Birmingham B1 3RB",adhoc,28 Oct 2024,139.2,6.0,,2024-10-28
4938,Birmingham and Solihull Mental Health Trust,Sitting on hearings as an Independent Associate Manager,,"Unit 1 B1, 50 Summer Hill Road, Birmingham B1 3RB",adhoc,28 Aug 2024,359.2,15.0,,2024-08-28
4938,Birmingham and Solihull Mental Health Trust,Sitting on hearings as an Independent Associate Manager,,"Unit 1 B1, 50 Summer Hill Road, Birmingham B1 3RB",adhoc,26 Jul 2024,150.0,3.0,,2024-07-26
4938,Birmingham and Solihull Mental Health Trust,Sitting on hearings as an Independent Associate Manager,,"Unit 1 B1, 50 Summer Hill Road, Birmingham B1 3RB",ongoing,17 Jul 2024 – ongoing,6051.75,201.7,£300/monthly · 10h/monthly,2024-07-17
4995,Somerset Council,Councillor,,"County Hall, Taunton TA1 4DY",ongoing,31 Jul 2023 – ongoing,24678.61,613.5,"£1,223/monthly · 7h/weekly",2023-07-31
5030,NHS,Locum Doctor,,"May Lane Surgery, Dursley, Glos GL11 4JN",adhoc,16 Oct 2025,1500.0,20.0,,2025-10-16
5030,NHS,Locum Doctor,,"May Lane Surgery, Dursley, Glos GL11 4JN",adhoc,30 Apr 2025,1050.0,12.0,,2025-04-30
5030,Mail on Sunday,Writing Article,newspaper,"Northcliffe House, 2, Derry St, London W85TT",adhoc,20 Mar 2025,500.0,6.0,,2025-03-20
5030,NHS,Locum Doctor,,"May Lane Surgery, Dursley, Glos GL11 4JN",adhoc,10 Feb 2025,400.0,6.0,,2025-02-10
5030,NHS,Locum Doctor,,"May Lane Surgery, Dursley, Glos GL11 4JN",adhoc,9 Aug 2024,1250.0,35.0,,2024-08-09
5037,GMB Union,Trade Union Organiser,,"St James Business Park, 81 Linwood Road, Paisley PA3 3BB",adhoc,6 Aug 2024,4971.51,0.0,,2024-08-06
5040,Eastleigh Borough Council,Borough Councillor,Borough Council,"Eastleigh House, Upper Market Street SO50 9YN",ongoing,26 May 2022 – 15 Aug 2024,662.85,82.8,£696/monthly · 20h/weekly,2022-05-26
5041,Telford and Wrekin Council,"Councillor, and until 17 July 2024, Council Leader",Local Government,"Telford and Wrekin Council,  Southwater 1, Telford TF34JG",ongoing,4 Jul 2024 – 24 Aug 2024,1283.42,54.2,"£1,028/monthly · 10h/weekly",2024-07-04
