mnis_id,employer,role,nature_of_business,address,row_type,date_display,earnings,hours,rate_display,sort_date
5091,X Corp,Social media,,"Market Square, 1355 Market St Suite 900 San Francisco California 94103",adhoc,5 Feb 2025,102.82,12.0,,2025-02-05
5091,GB News Ltd,Presenter,,"Riverbank House, 2 Swan Lane, London EC4R3TT",adhoc,31 Jan 2025,30944.4,25.0,,2025-01-31
5091,Google,Social media work,,"Google Google Building Gordon House, Barrow St, Grand Canal Dock, Dublin 4, D04 V4X7 Ireland",adhoc,23 Jan 2025,937.67,4.0,,2025-01-23
5091,X Corp,Social media,,"Market Square, 1355 Market St Suite 900 San Francisco California 94103",adhoc,22 Jan 2025,1137.13,24.0,,2025-01-22
5091,GB News Ltd,Presenter,,"Riverbank House, 2 Swan Lane, London EC4R3TT",adhoc,15 Jan 2025,45286.8,30.0,,2025-01-15
5091,X Corp,Social media,,"Market Square, 1355 Market St Suite 900 San Francisco California 94103",adhoc,8 Jan 2025,1051.08,12.0,,2025-01-08
5091,Baron App Inc (Cameo),Cameo video recordings,,2045 W Grand Ave Suite B Chicago IL 60612,adhoc,7 Jan 2025,27342.12,28.0,,2025-01-07
5091,Direct Bullion,Brand Ambassador,,"Level 1, Devonshire House, One Mayfair Place, London W1J8AJ",adhoc,6 Jan 2025,91200.0,4.0,,2025-01-06
5091,X Corp,Social media,,"Market Square, 1355 Market St Suite 900 San Francisco California 94103",adhoc,27 Dec 2024,1296.41,28.0,,2024-12-27
5091,Google,Social media work,,"Google Google Building Gordon House, Barrow St, Grand Canal Dock, Dublin 4, D04 V4X7 Ireland",adhoc,27 Dec 2024,2777.8,4.0,,2024-12-27
5091,AZ Liberty Network,Speaking engagement,,1835 E Elliot Road Suite 102 Tempe 85284,adhoc,11 Dec 2024,520.0,4.0,,2024-12-11
5091,X Corp,Social media,,"Market Square, 1355 Market St Suite 900 San Francisco California 94103",adhoc,11 Dec 2024,140.31,14.0,,2024-12-11
5091,Baron App Inc (Cameo),Cameo video recordings,,2045 W Grand Ave Suite B Chicago IL 60612,adhoc,5 Dec 2024,15451.52,24.0,,2024-12-05
5091,Direct Bullion,Brand Ambassador,,"Level 1, Devonshire House, One Mayfair Place, London W1J8AJ",adhoc,5 Dec 2024,189300.0,4.0,,2024-12-05
5091,GB News Ltd,Presenter,,"Riverbank House, 2 Swan Lane, London EC4R3TT",adhoc,29 Nov 2024,42076.8,20.0,,2024-11-29
5091,X Corp,Social media,,"Market Square, 1355 Market St Suite 900 San Francisco California 94103",adhoc,27 Nov 2024,2883.08,28.0,,2024-11-27
5091,Google,Social media work,,"Google Google Building Gordon House, Barrow St, Grand Canal Dock, Dublin 4, D04 V4X7 Ireland",adhoc,25 Nov 2024,3561.4,8.0,,2024-11-25
5091,X Corp,Social media,,"Market Square, 1355 Market St Suite 900 San Francisco California 94103",adhoc,6 Nov 2024,120.91,14.0,,2024-11-06
5091,Baron App Inc (Cameo),Cameo video recordings,,2045 W Grand Ave Suite B Chicago IL 60612,adhoc,31 Oct 2024,9709.52,24.0,,2024-10-31
5091,GB News Ltd,Presenter,,"Riverbank House, 2 Swan Lane, London EC4R3TT",adhoc,30 Oct 2024,35433.6,16.0,,2024-10-30
5091,Google,Social media work,,"Google Google Building Gordon House, Barrow St, Grand Canal Dock, Dublin 4, D04 V4X7 Ireland",adhoc,23 Oct 2024,1492.37,4.0,,2024-10-23
5091,Nomad Capitalist LLC,Speaking Engagement,,"2810 North 3rd Street, Phoenix, Arizona 85004",adhoc,7 Oct 2024,40075.37,10.0,,2024-10-07
5091,GB News Ltd,Presenter,,"Riverbank House, 2 Swan Lane, London EC4R3TT",adhoc,30 Sep 2024,60388.8,20.0,,2024-09-30
5091,Meta Platforms,Social media work,,"1 Meta Way Menlo Park, CA",adhoc,30 Sep 2024,785.77,28.0,,2024-09-30
5091,X Corp,Social media,,"Market Square, 1355 Market St Suite 900 San Francisco California 94103",adhoc,30 Sep 2024,163.99,14.0,,2024-09-30
5091,Baron App Inc (Cameo),Cameo video recordings,,2045 W Grand Ave Suite B Chicago IL 60612,adhoc,30 Sep 2024,12247.71,24.0,,2024-09-30
5091,Google,Social media work,,"Google Google Building Gordon House, Barrow St, Grand Canal Dock, Dublin 4, D04 V4X7 Ireland",adhoc,30 Sep 2024,3044.24,8.0,,2024-09-30
5091,AZ Liberty Network,Speaking engagement,,1835 E Elliot Road Suite 102 Tempe 85284,adhoc,29 Aug 2024,13000.0,8.0,,2024-08-29
5091,Meta Platforms,Social media work,,"1 Meta Way Menlo Park, CA",adhoc,27 Aug 2024,1155.7,28.0,,2024-08-27
5091,Google,Social media work,,"Google Google Building Gordon House, Barrow St, Grand Canal Dock, Dublin 4, D04 V4X7 Ireland",adhoc,23 Aug 2024,3019.32,8.0,,2024-08-23
5091,X Corp,Social media,,"Market Square, 1355 Market St Suite 900 San Francisco California 94103",adhoc,13 Aug 2024,622.46,28.0,,2024-08-13
5091,Baron App Inc (Cameo),Cameo video recordings,,2045 W Grand Ave Suite B Chicago IL 60612,adhoc,31 Jul 2024,16597.22,24.0,,2024-07-31
5091,Meta Platforms,Social media work,,"1 Meta Way Menlo Park, CA",adhoc,25 Jul 2024,853.34,28.0,,2024-07-25
5091,X Corp,Social media,,"Market Square, 1355 Market St Suite 900 San Francisco California 94103",adhoc,24 Jul 2024,1551.29,28.0,,2024-07-24
5091,AZ Liberty Network,Speaking engagement,,1835 E Elliot Road Suite 102 Tempe 85284,adhoc,23 Jul 2024,11783.55,8.0,,2024-07-23
5091,Telegraph media group,Writing articles,,"111 Buckingham Palace Road, London, SW1W 0DT",ongoing,17 Jul 2024 – ongoing,80689.94,322.8,"£4,000/monthly · 16h/monthly (approx.)",2024-07-17
5094,Family Rights Group,Self employed consultant,Charity,"101 Pentonville Road, London N1 9LG",adhoc,23 Jul 2024,1920.0,45.0,,2024-07-23
5100,Tradeweb Europe Limited,Compliance Officer,"A UK investment firm with permissions to operate a Multilateral Trading Facility (""MTF""), an Organised Trading Facility (“OTF”) and an Approved Publication Arrangement (“APA”).","1 Fore Street Avenue, Moorgate, London EC2Y 9DT",adhoc,1 May 2025,15211.53,0.0,,2025-05-01
5100,Central Bedfordshire Council,Central Bedfordshire Councillor,Local Authority,"Priory House, Monks Walk, Chicksands, Bedfordshire SG17 5TQ",adhoc,26 Jul 2024,634.57,37.0,,2024-07-26
5102,ITV Studios Limited,Gameshow guest appearances,Television programme production,"Itv White City, 201 Wood Lane, London, United Kingdom, W12 7RU",adhoc,8 Dec 2025,1800.0,10.0,,2025-12-08
5102,ITV Studios Limited,Gameshow guest appearances,Television programme production,"Itv White City, 201 Wood Lane, London, United Kingdom, W12 7RU",adhoc,29 Nov 2024,1800.0,10.0,,2024-11-29
5102,The Green Party of England and Wales,Co-leader of the Green Party of England and Wales,Political party,"PO Box 78066, London, SE16 9GQ",adhoc,25 Jul 2024,401.1,0.0,,2024-07-25
5103,London Borough of Sutton,Councillor,Local Authority,"St Nicholas Way, Sutton SM1 1EA",ongoing_parent,,20819.01,1334.7,,2024-07-17
5103,London Borough of Sutton,Councillor,Local Authority,"St Nicholas Way, Sutton SM1 1EA",ongoing_child,6 May 2023 – 31 Jul 2024,404.46,20.0,£879/monthly · 10h/weekly (Chair of Sutton Local Committee Special Responsibility Al...),2024-07-17
5103,London Borough of Sutton,Councillor,Local Authority,"St Nicholas Way, Sutton SM1 1EA",ongoing_child,17 Jul 2024 – ongoing,20414.55,1314.7,"£1,012/monthly · 15h/weekly (as a Councillor allowance)",2024-07-17
5103,Ricondo,Managing Consultant,Aviation Consulting,"1 Lyric Square, London W6 0NB",ongoing,1 Feb 2016 – 5 Oct 2024,15647.38,365.4,"£5,953/monthly · 32h/weekly",2016-02-01
5104,Denbighshire County Council,Deputy Leader of County Council,County Council,"County Hall, Ruthin LL15 9ZZ",adhoc,27 Jul 2024,546.37,0.0,,2024-07-27
5105,Bassetlaw District Council,District Councillor,,"Queen's Buildings, Potter Street, Worksop S80 1PH",adhoc,22 Jul 2024,184.63,0.0,,2024-07-22
5108,Durham University,Programme Manager,,"The Palatine Centre, University, Stockton Rd, Durham DH1 3LE",adhoc,31 Jul 2024,2407.62,63.0,,2024-07-31
5109,What'sNextCommunicationsLTD,Sole director and shareholder,Consultancy firm offering training and communications services.,"9 Bridge Street, Walton-On-Thames KT12 1AE",adhoc,22 Jul 2024,2500.0,0.0,,2024-07-22
5111,Teignbridge district council,Councillor,,"Forde house, Brunel Rd, Newton Abbot TQ12 4XX",adhoc,22 Nov 2024,737.76,0.0,,2024-11-22
5111,Teignbridge district council,Councillor,,"Forde house, Brunel Rd, Newton Abbot TQ12 4XX",adhoc,23 Oct 2024,3071.04,0.0,,2024-10-23
5111,Teignbridge district council,Councillor,,"Forde house, Brunel Rd, Newton Abbot TQ12 4XX",adhoc,23 Sep 2024,1375.17,0.0,,2024-09-23
5111,Devon County Council,Councillor,,"County Hall, Topsham Road, Exeter, Devon EX2 4QD",ongoing_parent,,12129.37,352.3,,2024-08-01
5111,Devon County Council,Councillor,,"County Hall, Topsham Road, Exeter, Devon EX2 4QD",ongoing_child,1 Aug 2024 – 4 May 2025,11396.64,315.2,"£1,257/monthly · 8h/weekly",2024-08-01
5111,Devon County Council,Councillor,,"County Hall, Topsham Road, Exeter, Devon EX2 4QD",ongoing_child,17 Jul 2024 – 30 Jul 2024,732.73,37.1,"£1,716/monthly · 20h/weekly",2024-08-01
5111,Teignbridge district council,Councillor,,"Forde house, Brunel Rd, Newton Abbot TQ12 4XX",adhoc,23 Jul 2024,1802.1,20.0,,2024-07-23
5111,PSA - Phone Paid Services Authority,Tribunal member for PSA (phone paid services/ofcom),Telecoms regulator,"c/o Ofcom, Riverside House. 2a Southwark Bridge Road, London SE1 9HA",ongoing,17 Jul 2024 – ongoing,2515.91,100.9,£125/monthly · 5h/monthly,2024-07-17
5111,Teignbridge district council,Councillor,,"Forde house, Brunel Rd, Newton Abbot TQ12 4XX",ongoing,17 Jul 2024 – ongoing,10722.68,1753.0,£532/monthly · 20h/weekly (Allowance),2024-07-17
5114,Save the Children UK,"Executive Director of Policy, Advocacy and Campaigns",,"1 St John's Lane, London EC1M 4AR",adhoc,26 Aug 2024,1327.07,0.0,,2024-08-26
5116,Millennium Steel Publishing,Editor,Publishing scientific and technological journals for industry.,,adhoc,14 Dec 2025,3000.0,42.0,,2025-12-14
5116,Millennium Steel Publishing,Editor,Publishing scientific and technological journals for industry.,,adhoc,26 Jun 2025,3625.0,50.0,,2025-06-26
5116,Millennium Steel Publishing,Editor,Publishing scientific and technological journals for industry.,,adhoc,17 Sep 2024,1400.0,28.0,,2024-09-17
5116,Materials Processing Institute,Strategy Consultant,Research and innovation organisation,"Eston Road, Middlesbrough TS6 6US",adhoc,9 Aug 2024,20000.0,0.0,,2024-08-09
